account_id,customer_id,account_typeid,account_status_id,balance,opening_date
201370,11081,3,1,45552.93,1/5/2022
201007,10541,3,1,19557.46,7/1/2019
200260,10742,1,2,66974.97,6/7/2018
200171,10729,1,1,19826.46,6/19/2020
200689,10205,1,1,80386.19,8/31/2020
200105,10625,5,2,33473.34,10/29/2018
201201,10760,2,1,16158.07,6/27/2018
200448,11068,4,2,89822.89,10/15/2018
200807,10387,2,3,94042.15,3/10/2019
201521,10895,5,1,19290.69,10/19/2019
200988,10614,5,1,32176.3,9/8/2018
200156,10492,5,1,44226.17,1/24/2020
200027,10691,5,1,37361.45,11/6/2020
200612,10743,2,1,65135.68,9/16/2018
201492,11095,5,2,69060.9,4/15/2019
200947,10906,1,1,12696.33,4/8/2021
200043,10894,4,1,79719.69,7/31/2021
201163,10554,3,1,18417.51,11/28/2019
200801,10377,1,1,66280.88,11/15/2019
200899,10265,3,1,60784.62,12/12/2018
200356,10450,3,2,9782.45,5/25/2018
200233,11062,4,1,52635.31,11/15/2018
200330,10729,1,1,87731.37,10/8/2019
200909,10066,4,1,10768.21,9/24/2018
200021,10929,1,2,75314.83,8/2/2018
200268,10345,2,1,63328.69,1/25/2018
200943,10475,1,1,94132.42,3/25/2018
200243,10698,3,1,28537.58,11/21/2018
200209,10141,5,2,20828.49,11/25/2018
200800,10896,5,1,66997.3,11/7/2021
200228,10997,3,1,10485.76,12/28/2019
201269,10041,5,1,30914.75,11/10/2019
200578,10705,4,2,24570.15,9/3/2018
200498,10800,1,1,15998.84,12/4/2018
201605,10458,1,3,61452.84,1/10/2021
200096,10659,2,2,7371.56,10/18/2018
200824,10075,4,1,33251.84,10/31/2019
201287,10741,5,1,61811.52,8/2/2021
201209,10748,2,1,44989.68,1/25/2021
201502,10718,3,1,68003.49,7/21/2019
200615,10651,1,1,97085.48,8/27/2018
200019,10987,2,1,46697.84,4/14/2018
200363,11017,4,1,61675.17,7/6/2021
201496,10985,5,1,7522.28,5/4/2019
200987,10173,2,1,74953.59,1/26/2022
201627,10297,2,1,63276.07,6/7/2021
200198,10710,4,1,41712.43,8/30/2020
200768,10472,5,2,35557.51,1/9/2020
200239,10608,2,1,90045.38,9/8/2020
201257,10807,3,1,75151.44,5/11/2018
200093,10753,3,1,94367.39,8/13/2020
201256,10443,4,1,54267.69,10/25/2019
200575,10473,3,1,68796.18,3/17/2020
201369,10130,1,1,28474.18,8/22/2020
200778,10543,3,2,56580.01,10/9/2021
201197,10817,5,1,33695.66,5/13/2019
201403,10950,3,2,19307.32,10/4/2021
200942,10448,4,1,20566.29,6/25/2018
201290,10518,4,1,65129.17,4/25/2020
201303,10434,4,1,52486.18,3/20/2021
200683,10887,3,1,77337.56,2/19/2018
201178,10500,4,1,91571.7,9/6/2019
200375,10359,3,1,-484.03,1/22/2018
200602,11032,1,1,37855.48,11/26/2020
200911,10472,4,2,1982.54,3/29/2021
200389,10893,3,2,63269.23,5/13/2020
200858,10895,1,2,51078.34,12/19/2020
200676,10322,3,1,73634.29,11/8/2025
200552,10920,4,1,57401.58,10/13/2020
201507,10305,5,1,66363.63,5/2/2019
200571,10822,2,1,38267.06,8/23/2020
201328,10378,2,1,8886.02,6/7/2020
200649,10515,5,2,70672.09,3/1/2021
201313,10908,3,1,46225.22,12/29/2019
200373,10803,3,1,5341.19,10/2/2021
200915,10991,1,1,64672.06,8/30/2019
201384,10669,2,3,80291.35,9/26/2018
201030,10266,3,1,97583.98,4/17/2019
201242,10514,1,1,97505.74,10/6/2018
201461,10909,3,1,1067.92,9/23/2018
200628,10220,2,2,86449.35,4/25/2021
201044,10599,3,1,31813.08,7/26/2018
201625,10911,3,2,88833.03,10/9/2020
201396,10383,4,1,46889.38,2/22/2020
200751,10739,4,1,11153.1,9/28/2020
201060,10491,4,1,13816.59,1/16/2020
200022,10697,3,1,54626.23,12/13/2021
201315,10821,5,2,98852.39,3/11/2020
200601,11013,2,1,24970.51,3/20/2019
201536,10978,2,1,53964.3,7/2/2018
200499,10779,4,1,41756.99,3/13/2019
200859,11068,1,1,96162.77,5/18/2018
200539,10891,4,1,63989.93,2/8/2021
200879,10491,3,1,81043.65,8/18/2018
200191,10107,2,1,64668.96,4/7/2021
201423,10285,5,1,34139.84,8/29/2019
201100,10349,4,2,7238.29,8/16/2020
200525,10096,4,2,3728.4,5/25/2019
201285,10410,2,1,7142.29,9/20/2019
200226,10426,5,1,41080.03,1/14/2021
200381,10838,4,2,2046.9,1/3/2021
201583,11041,4,1,24816.84,8/11/2018
200424,10522,1,1,88759.77,4/18/2021
201040,10664,5,3,34532.54,11/30/2020
201235,10446,5,1,43432.25,6/4/2020
200001,10106,2,1,45976.72,7/3/2021
200906,10982,5,1,9453.32,12/28/2019
200818,10411,2,1,29665.12,12/28/2018
200630,10716,5,2,27089.05,12/16/2020
200408,10716,3,1,76094.38,8/29/2020
201237,11039,2,1,53106.86,6/4/2019
200776,11083,3,2,40804.47,11/5/2020
200054,10316,5,1,63209.82,4/5/2018
200622,10072,4,1,93463.8,12/25/2018
200658,10187,5,1,86577.85,8/18/2018
200967,10930,1,1,64653.85,8/12/2019
200174,10171,4,3,93803.16,1/24/2019
201406,10906,3,1,11905.54,1/3/2018
200714,10368,5,1,95795.81,1/20/2022
200086,10133,3,1,48388.47,3/20/2026
200810,10209,1,1,50288.56,12/29/2021
201598,10928,1,1,87141.62,12/21/2020
201378,10291,5,1,3388.13,8/12/2019
201125,10719,4,1,31958.06,2/11/2018
201503,10298,2,2,8447.57,5/23/2018
201622,10328,3,1,53194.87,11/30/2018
200745,10326,5,1,67365.33,2/10/2020
200687,10338,4,3,62288.73,
200547,10655,1,1,31878.18,2/17/2018
200748,10764,2,1,30016.82,5/2/2020
200289,10699,4,1,59032.48,11/13/2018
200460,10989,3,1,19062.04,4/5/2020
201571,10738,3,1,75100.88,11/21/2020
200148,10680,2,1,19169.97,1/8/2019
200516,10951,3,1,8374.94,2/25/2021
201043,10829,4,1,98193.39,11/1/2025
201437,10836,1,1,73882,9/22/2019
200338,10603,5,1,94115.37,8/22/2019
201193,10568,2,1,23397.62,1/18/2020
200076,10350,4,3,84752.19,4/2/2019
200765,10484,5,1,87592.18,5/5/2020
200206,10909,4,1,60464.15,4/22/2019
200102,10446,4,1,81059.87,9/10/2020
200302,10053,3,1,66179.18,1/6/2019
200572,10963,3,1,69371.4,2/6/2022
200840,10502,5,1,6781.42,6/18/2019
200248,10636,2,1,56908.2,1/23/2021
200956,10887,3,1,1763.48,12/28/2018
200495,11051,2,1,99576.52,9/3/2018
200267,10895,4,2,16849.22,8/26/2020
200418,10205,5,1,92852.87,1/8/2022
201188,10050,2,1,1832.23,2/24/2021
201589,10272,3,2,87870.96,11/9/2019
201390,10700,5,2,18214.86,5/3/2020
200415,10030,3,1,85956.02,9/26/2020
201033,10190,2,1,21893.19,
200679,10353,2,1,95993.15,2/17/2021
201436,10706,3,1,11204.58,9/24/2018
200422,10670,1,1,56501.8,9/25/2021
201389,10870,1,1,48802.76,10/20/2019
201399,10628,2,2,62704.13,3/1/2019
201604,10637,2,1,31197.66,3/30/2019
201607,10117,3,1,42912.69,2/23/2018
201022,10050,4,1,42042.75,8/19/2018
201063,10833,4,2,6138.42,3/22/2019
201152,10441,4,1,17726.86,1/5/2020
201175,10611,1,1,90209.21,2/2/2021
200586,10819,5,1,80092.14,9/2/2021
201608,10458,1,1,-332.64,12/5/2019
201349,10713,3,1,44268.2,3/29/2019
201262,10938,2,1,43169.25,10/19/2018
200698,10252,1,1,6818.08,5/29/2020
200379,10460,5,1,38941.36,7/29/2019
200309,10800,2,1,88843,4/5/2020
200462,10653,5,1,78226.86,5/30/2019
200186,10686,2,1,75229.57,9/13/2021
200432,10010,3,1,28642.89,5/30/2021
201070,10697,1,1,-451.22,7/16/2020
200996,10863,2,1,88081.58,4/18/2021
200632,10821,2,1,34136.27,8/20/2019
200671,10617,3,2,71165.2,2/16/2021
200686,10719,1,1,21832.9,5/5/2019
200962,10466,4,1,93428.62,1/13/2020
200523,10496,2,1,10299.2,8/6/2020
200496,10431,3,1,7310.55,6/26/2021
200715,10476,5,1,90889.92,7/9/2018
201129,10527,3,1,97520.65,7/9/2021
200645,10027,2,1,87257.64,3/18/2020
200075,10390,1,1,85355.69,9/17/2019
200464,10637,3,1,33402.53,8/10/2020
201189,10739,4,1,16636.45,6/13/2020
200182,10539,5,3,54673.13,12/3/2021
200152,11068,5,2,33642.96,7/23/2020
201431,10525,4,1,21044.85,6/5/2021
200849,10956,5,1,97799.03,9/26/2021
201387,10445,4,1,53314.79,4/3/2019
200982,10384,5,1,168.24,
200758,10561,3,1,66408.18,7/25/2020
201079,10818,1,1,43246.95,6/14/2020
200713,11085,5,1,36010.17,8/30/2020
201273,11013,4,1,71894.33,9/26/2020
200699,10639,2,1,45953.62,1/4/2022
200561,10092,1,1,32040.43,1/26/2019
200663,10534,1,1,30305.49,8/12/2021
200166,10498,4,1,6819.43,3/29/2021
200907,10045,1,1,82824.07,8/16/2018
201459,10700,4,1,11158.18,1/11/2022
200176,10857,5,2,98824.99,1/21/2022
201157,10277,5,1,798.95,1/10/2021
200957,10896,4,1,49195.28,8/22/2021
201225,10694,2,2,57861.87,12/30/2019
201195,10545,3,1,79409.9,7/23/2018
200934,10631,5,1,5803.63,8/19/2019
200548,10731,2,1,95485.55,3/12/2020
200688,10785,2,1,31938.31,10/25/2018
201229,10976,2,1,21440.71,5/10/2018
200502,10912,1,2,8471.71,1/7/2019
200873,11081,5,1,33312.88,1/2/2019
201314,10343,1,1,39814.31,12/22/2020
200829,11083,5,1,99367.56,8/3/2018
200620,10780,3,1,97709.97,12/19/2021
200562,10178,3,1,54139.42,6/7/2020
201643,10106,3,3,63417.47,10/23/2021
201158,10971,4,1,89490.97,12/11/2025
201000,10843,2,2,2903.48,8/10/2020
200387,11022,5,1,1484.19,1/2/2021
201266,10526,1,1,9506.54,12/4/2019
200590,10670,2,1,34993.26,7/1/2019
200044,10892,2,2,76966.28,3/5/2021
200684,10025,4,1,11829.41,9/10/2018
200295,11080,1,1,24421.48,5/7/2020
201101,10433,2,1,94618.51,1/13/2019
201485,11002,4,2,40948.29,11/20/2018
200995,10958,4,1,72530.73,3/7/2019
200625,10229,1,1,27438.12,2/11/2020
200231,10593,2,1,8421.29,4/9/2019
200832,10307,1,1,19414.17,5/27/2020
201006,10900,5,1,68744.61,8/21/2018
200103,10289,2,1,2495.42,10/5/2021
200970,10943,5,1,74975.09,11/5/2018
201217,10972,3,1,15058.27,11/21/2019
201169,10609,3,1,66365.39,9/14/2019
201393,10212,1,1,32876.62,2/28/2018
200712,10648,2,1,46654.26,12/10/2019
201270,10357,1,1,63489.87,2/7/2022
200936,10269,5,1,36884.55,9/28/2019
200407,10449,2,1,86226.61,11/5/2021
201253,10568,2,1,78877.32,
200752,10755,1,1,80947.03,6/25/2018
200139,10198,2,1,21643.34,6/17/2018
200346,10756,4,1,70376.51,11/8/2018
200830,10538,5,1,84771.02,8/15/2019
200313,11099,5,1,56305.33,9/3/2019
201090,10259,3,1,82411.23,10/26/2021
200320,10990,3,1,8383.78,9/27/2021
201548,10857,3,2,92484.05,10/18/2019
200232,10760,1,1,55207.57,10/21/2018
200744,10982,5,1,96691.7,12/9/2019
201630,10602,4,1,53513.59,9/30/2018
201421,10635,2,1,84925.81,4/6/2020
200079,10781,3,1,95799.13,1/22/2021
201504,10442,5,3,71478.64,8/19/2021
201146,10758,2,1,89943.75,12/8/2020
201118,10728,4,1,67765.16,4/2/2020
200333,10518,4,1,55863.11,7/22/2021
201096,10393,5,1,60980.9,5/15/2019
200857,10820,1,3,53012.76,1/28/2022
201386,10106,3,1,98621.54,
200736,10575,2,1,11911.62,6/13/2018
200847,10351,2,2,54095.48,1/30/2021
201547,10798,3,1,4214.72,5/17/2019
201121,10449,4,1,27961.66,1/16/2020
200609,10035,5,1,81307.85,8/30/2020
200723,10506,4,1,53411.49,2/5/2019
200544,11051,4,1,29118.69,12/27/2020
201467,11076,5,1,33217.79,7/8/2019
201220,10308,3,1,90588.29,9/11/2018
200554,10177,5,1,12929.14,12/29/2021
201623,10451,4,1,25904.48,1/26/2020
200953,10288,4,2,12654.78,1/25/2020
201588,10535,4,1,49951.87,4/3/2020
201304,10156,4,1,15816.85,9/30/2018
201563,10586,4,1,62435.08,7/14/2019
201628,10596,4,1,10894.96,7/7/2020
200651,10386,3,2,855.61,7/13/2020
200002,10839,5,1,84008.77,11/15/2019
201016,10958,2,1,56614.15,10/23/2019
200654,10306,4,1,29461.6,8/9/2018
201316,10545,4,1,31670.18,1/22/2020
200392,10524,4,2,47720.54,10/7/2019
201483,10990,3,1,39530.42,4/28/2019
200921,10951,4,1,9461.55,2/11/2021
200334,10515,3,1,4940.1,10/5/2020
201190,10702,2,1,20614.63,4/9/2019
200501,10227,4,1,75278.53,4/11/2019
201530,10602,4,1,76520.27,11/10/2020
200341,10241,4,1,48035.81,11/13/2018
200725,10882,1,1,7977.53,3/11/2019
200040,10493,5,1,28525.67,5/29/2019
201531,10478,5,1,22180.71,1/2/2021
201149,10760,3,1,24309.2,
201084,10411,3,2,8545.33,1/2/2021
200945,10412,5,1,62943.1,4/22/2018
200877,10675,2,1,59425.38,7/23/2019
200446,10998,1,1,46783.99,6/13/2019
200532,10632,3,1,81253.09,10/31/2018
200961,10360,3,1,49886.14,6/24/2018
200510,10795,1,2,4532.46,3/26/2020
200513,10997,3,2,76110.76,8/31/2020
201562,11095,5,1,25998.69,8/8/2018
201637,10091,4,1,9103.9,10/1/2018
201501,11003,3,1,81538.08,3/25/2020
200775,10848,3,2,988.89,4/19/2018
201420,10471,4,1,996.08,2/22/2018
201205,10538,5,1,12062.53,1/30/2020
201288,10202,5,1,19110.41,8/14/2019
200833,10832,2,1,94714.26,5/25/2021
201574,10374,5,1,65937.47,2/13/2019
201480,11000,1,1,90293.79,5/21/2020
200825,10244,5,1,88003.78,3/23/2018
200682,10773,5,1,22744.42,7/17/2019
200298,10278,2,1,57916.55,3/4/2018
200224,10662,2,1,93915.37,6/15/2026
201102,10430,5,1,98536.94,11/19/2018
200540,10270,3,1,67333.11,11/9/2019
200409,10952,2,1,52437.73,12/5/2019
200049,10716,3,2,97056.5,10/30/2018
200456,10842,3,2,40616.96,1/8/2021
201278,10608,1,1,297.26,
200598,10687,5,1,16337.78,2/20/2021
200670,10726,2,1,49866.12,2/15/2019
200223,10357,1,2,8616.26,2/16/2020
201645,10056,5,2,67221.71,4/14/2020
201286,10224,1,3,98752.9,6/16/2018
200475,10545,4,1,95560.61,5/19/2020
200846,10855,2,2,81624.65,12/27/2018
201135,10115,2,1,87109.52,2/2/2020
200783,10493,3,1,25552.59,9/16/2021
200603,10797,4,1,78968.31,5/3/2019
200047,10656,5,1,87103.24,5/25/2021
200315,10574,2,1,20955.84,12/7/2020
200247,10236,3,1,52971.73,6/19/2018
200954,10893,3,1,56851.42,9/25/2019
201210,10218,5,2,7138.31,6/11/2019
200068,10369,5,3,45217.07,9/18/2020
201347,10649,1,1,33515.77,2/12/2018
201267,10399,2,1,91798.81,11/9/2018
200060,10494,4,1,5113.53,5/23/2019
201296,11058,5,2,7370.12,9/13/2018
200013,10704,3,3,84904.63,12/10/2019
200710,10143,2,2,74801.11,7/13/2020
201159,10867,3,1,61114.59,6/4/2020
201274,10458,1,2,2700.81,1/23/2021
201139,11038,2,1,47313.93,1/5/2019
200792,10719,2,1,72900.62,9/28/2018
200033,11027,5,2,6284.54,6/26/2018
200882,10107,3,1,87535.78,1/6/2021
201416,10783,2,3,69925.49,12/3/2019
200275,10669,1,2,27422.79,12/20/2018
200058,10079,4,1,84232.06,5/25/2019
200966,10843,5,1,27860.05,6/29/2018
201539,10254,3,1,76819.46,6/17/2019
200878,10687,3,2,58649.9,3/16/2026
200265,10634,5,1,97161.64,1/23/2019
200215,10925,5,1,93508.87,2/21/2021
200536,10976,4,1,1991.63,7/7/2018
201602,10357,2,3,19241.05,4/27/2019
200132,10956,2,1,76952.07,6/28/2020
201206,10349,3,1,70501.6,11/4/2020
200542,10817,4,1,40479.35,5/11/2021
200037,10727,1,1,40414.75,2/15/2018
201318,10055,3,3,46463.91,8/9/2018
200755,10529,4,1,65092.89,4/14/2018
201057,10287,2,1,80862.99,8/16/2018
200809,10681,5,1,80735.96,1/26/2022
200082,10330,1,1,13907.67,10/1/2021
200063,10760,4,2,80873.7,10/11/2019
200820,10072,3,1,51867.25,2/25/2019
200414,10207,4,3,87346.91,2/21/2021
200437,10455,1,1,49112.5,5/21/2020
201538,10438,5,1,2857.78,6/9/2019
201113,10061,2,1,51248.28,12/21/2020
200110,10960,1,1,97375.3,6/6/2018
201282,10898,3,1,84216.02,3/2/2018
200743,10704,3,1,22715.48,12/28/2019
200192,10507,4,1,96203.92,6/14/2020
201438,11010,4,1,16137.61,9/5/2018
200573,10302,5,1,32888.15,3/9/2020
200599,10484,4,1,1921.06,2/25/2018
200213,10751,1,1,28659.41,11/1/2018
200343,10052,1,1,30095.9,6/24/2018
201231,10794,3,2,91941.52,11/25/2021
200884,10401,5,1,30778.96,5/2/2021
201447,10392,3,1,4120.31,10/22/2019
200386,10642,3,2,71440.11,8/4/2021
201233,10500,3,1,3705.27,2/12/2021
200031,10913,1,1,84415.35,11/7/2021
201167,10894,4,2,6939.38,12/15/2020
200101,10501,3,3,81973.76,8/1/2019
201009,10485,3,1,58760.77,8/12/2021
200656,10035,4,1,53079.45,1/28/2020
200332,10908,1,2,7437.98,2/12/2021
200366,10456,5,1,96922.37,9/10/2018
201142,10562,1,1,28929.92,9/22/2020
200028,11003,2,2,27830.4,11/15/2021
201301,10106,5,1,17600.55,3/2/2020
200427,10818,2,1,19976.54,1/14/2022
201344,10996,2,1,89803.18,1/29/2021
201031,10879,3,1,68630.97,3/11/2021
200790,11090,2,1,58371.1,10/9/2018
200521,10497,4,1,93801.23,9/12/2020
201354,10207,1,1,72901.86,6/29/2020
200897,10823,1,1,4734.68,9/2/2021
201222,10374,5,2,83157.4,8/12/2019
201216,10048,3,2,6196.05,2/5/2019
200196,11020,3,3,38213.2,10/16/2021
201458,10503,3,1,94637.81,2/1/2019
201342,10245,3,1,50624.91,7/30/2019
200402,10418,4,1,10931.61,
200476,10163,5,1,88906.14,1/14/2020
200187,10706,1,1,82125.5,3/2/2021
201312,10223,4,1,73001.03,10/14/2018
200286,11090,3,1,50087.8,11/21/2021
201230,10971,5,1,51946.98,11/25/2020
200917,10853,1,1,66553.69,4/23/2020
200891,10567,5,1,43164.35,4/17/2019
201441,10572,2,2,33936.14,6/23/2018
201019,10689,1,1,52550.59,6/7/2020
200696,10189,1,1,35946.6,8/2/2019
201472,11010,2,1,82901.01,4/5/2021
200841,10459,3,2,33874.96,1/22/2021
200522,10537,1,3,45129,10/24/2018
200731,10966,4,1,5811.77,1/23/2022
200481,10535,4,1,65910.21,12/13/2018
200023,10177,4,1,31727.05,11/11/2021
201226,10153,5,1,34571.98,3/15/2021
201527,10603,3,1,95258.96,10/17/2018
201045,10044,2,1,10177.2,2/14/2019
200597,10345,2,1,47257.88,12/17/2019
201164,10426,3,1,55889.89,11/14/2018
201525,10707,2,3,46295.23,3/9/2019
200465,10038,5,1,13231.48,1/14/2020
200091,10703,3,1,535.49,5/9/2018
201639,10255,5,1,36513.17,4/14/2019
200240,10312,3,1,1004.81,11/5/2018
200648,10499,1,1,93642.02,2/21/2019
201594,10035,2,1,99358.56,6/9/2019
200131,10103,3,1,75376.37,5/14/2018
201212,10280,3,1,28703.58,1/12/2018
200219,10318,4,1,22228.52,12/25/2020
200428,10674,4,1,75436.44,1/6/2018
201258,10398,1,1,63171.98,9/23/2020
201246,10667,2,2,4676.32,5/17/2018
200083,10686,5,1,34899.8,11/1/2018
200737,10347,2,3,55587.45,6/14/2020
200610,10219,3,1,77330.66,4/17/2021
200184,10286,3,2,23944.96,1/3/2019
200974,10707,3,1,8628.14,2/26/2020
200886,10634,5,1,30479.46,4/6/2021
201636,10395,5,1,90396.34,5/17/2021
200940,10258,4,1,67725.96,7/14/2021
201221,10840,5,1,46783.8,7/21/2020
201356,11004,1,1,80721.73,4/29/2020
201239,10155,4,1,85907.65,10/23/2018
201311,10024,4,1,6438.96,2/15/2018
200880,10529,4,1,50966.65,11/11/2021
200245,10471,4,1,15469.8,12/25/2019
200004,10584,5,1,49200.39,7/27/2018
201147,10851,2,1,28516.97,7/15/2019
201191,10203,5,2,85776.52,1/25/2018
200870,10585,4,1,41482.99,11/2/2025
200118,10298,4,1,61554.44,9/10/2021
200007,10219,4,1,76868.55,9/14/2018
200796,11092,5,1,5841.82,2/12/2018
200984,10762,4,1,68773.85,5/8/2019
201140,10822,5,1,4804.93,5/1/2019
200566,10781,2,2,2897.31,1/9/2026
201400,10739,2,1,75822.77,
201633,10335,2,1,33358.65,4/24/2020
200657,10694,4,1,97893.1,8/14/2018
201505,10551,5,1,37419.65,11/7/2019
201123,10892,2,1,34304.35,10/24/2021
201039,10617,5,1,60458.08,5/7/2018
201166,10634,1,1,32065.1,6/12/2019
200238,10283,3,1,4204.24,1/31/2021
201074,10935,4,1,64799.49,2/28/2018
200848,10114,5,2,99472.58,10/24/2020
201359,10848,5,1,56196,6/30/2019
201098,10573,2,1,71461.59,10/16/2019
200605,10325,1,3,62854.84,2/4/2019
200483,10397,2,1,7171.9,4/18/2021
200794,10243,3,1,89489.35,10/18/2019
200317,10002,2,1,54562.11,12/3/2021
200923,10415,4,1,35829.66,4/21/2021
200580,10371,5,1,75921.36,3/17/2018
200254,10478,5,1,57333.16,10/16/2020
200061,10838,3,1,71560.95,
200014,10441,5,1,84147.22,12/14/2021
200667,10128,5,1,76754.95,12/18/2020
200805,11008,4,2,29659.71,9/25/2020
200881,10595,5,2,35503.33,3/16/2021
201394,10895,2,1,49315.12,9/13/2020
201094,10207,1,2,36704.08,8/18/2020
201443,10185,2,1,23915.53,2/27/2021
201326,10042,2,1,88473.99,4/23/2019
200747,10842,1,2,98152.81,3/19/2021
200889,10002,5,1,72356.98,12/18/2020
200823,10799,3,1,83634.16,10/16/2020
201247,10004,1,1,30879.61,4/23/2018
200416,10836,5,1,66066.94,7/17/2021
200704,10584,2,2,92101.16,12/16/2019
201345,10914,2,1,31695.84,8/9/2018
200149,10239,1,1,75306.88,5/19/2018
200070,10632,5,1,57405.83,
201367,10390,5,1,12234.14,1/11/2018
200439,10246,1,1,96069.39,10/28/2020
200199,10518,4,1,5913.76,5/10/2018
201411,10567,3,1,-347.33,9/13/2021
200769,10126,1,1,53021.49,9/24/2020
200797,11057,2,1,8548.38,7/1/2021
201585,11046,2,1,73902.87,7/11/2018
200397,10576,5,2,14485.85,11/16/2020
200695,10899,3,2,64229.52,10/21/2018
200678,10124,4,3,93932.94,8/13/2019
201196,10448,4,1,2437.45,10/11/2020
200574,10676,1,1,22906.46,6/11/2020
201523,10267,5,1,15903.41,9/1/2019
200793,10002,2,1,48559.42,7/11/2021
200189,10209,2,1,13011.25,1/17/2021
201435,10824,2,1,60387.81,11/15/2019
200421,10845,5,2,51905.22,9/9/2020
201601,10204,4,1,45648.43,2/7/2021
200754,10495,3,1,86461.96,5/29/2019
200742,11097,2,1,91394.85,9/18/2019
201067,10352,1,1,26935.78,6/19/2020
200952,10206,5,1,43240.08,7/15/2021
201509,11090,3,1,51630.82,8/8/2019
200234,10712,5,1,73323.55,1/26/2018
200038,10343,5,2,24991.15,10/19/2020
201050,10515,1,1,67242.57,2/9/2019
200487,10458,2,1,36819.47,2/25/2019
201556,11081,1,1,78252.18,12/10/2019
200278,10912,1,1,2995.65,2/15/2021
201107,10806,4,1,56605.54,9/14/2020
200006,10423,4,3,50442.7,6/24/2020
200636,10362,5,3,72472.61,10/27/2019
200080,10803,2,1,22216.12,5/28/2018
200457,10693,1,1,23239.37,2/21/2020
200159,10435,2,1,30389.48,7/27/2021
201165,10344,5,1,20681.69,5/31/2018
201612,10409,2,2,25041.66,7/8/2019
200981,11044,4,1,74129.89,5/9/2021
201392,10372,4,1,11278.56,6/20/2020
200735,10963,5,3,40808.96,8/10/2021
200354,10046,2,1,33507.25,10/28/2018
201642,10462,1,2,66275.11,11/9/2018
200939,10293,4,1,88188.35,4/24/2021
201445,10647,5,1,61130.67,4/28/2018
201555,11091,2,1,24051.97,1/10/2020
201634,10615,4,1,60894.86,9/12/2019
201013,10909,1,1,43465.28,2/5/2020
