loan_id,account_id,loan_status_id,principal_amount,interest_rate,start_date,estimated_end_date
400163,200728,1,11216.36,0.1208,5/4/2022,8/18/2026
400138,201384,1,62787.76,0.1291,8/28/2022,12/22/2024
400054,200843,3,63543.29,0.1231,5/28/2021,9/13/2023
400238,200275,1,91246.18,0.1171,9/29/2022,1/2/2025
400115,200474,3,12279.78,0.0323,12/31/2022,11/2/2024
400013,201406,1,34767.61,0.0561,1/28/2023,1/12/2028
400131,200970,1,18204.87,0.1418,10/5/2022,4/29/2027
400043,201360,1,64131.66,0.095,2/26/2023,
400125,201517,1,75999.06,0.1267,1/18/2022,4/1/2024
400129,200617,1,54593.64,0.1132,3/19/2021,12/16/2023
400173,201164,1,72030.09,0.0789,8/23/2022,12/19/2026
400014,200029,1,20092.86,0.0636,7/30/2021,3/22/2026
400027,201270,1,78049.58,0.0601,9/17/2022,10/30/2025
400015,200229,1,26300.12,0.0902,12/28/2021,8/31/2026
400052,200433,1,84790.28,0.1027,,1/27/2025
400266,200422,1,25027.83,0.1361,9/12/2022,1/11/2027
400102,200707,1,86520.89,0.0307,11/18/2021,7/6/2023
400312,201238,1,20250.86,0.1238,4/14/2022,5/9/2023
400263,201135,1,73003.39,0.0891,6/18/2021,9/5/2022
400067,200917,1,48227.66,0.1105,10/16/2022,9/19/2025
400091,201053,1,47644.19,0.0822,12/3/2022,7/17/2026
400061,200825,1,54672.65,0.0819,4/21/2021,7/1/2023
400298,201355,1,90886.2,0.0663,10/5/2021,2/17/2024
400128,200438,1,57775.26,0.1101,10/19/2022,10/5/2025
400000,201241,3,52255.85,0.1283,4/5/2021,8/16/2022
400150,201628,1,3503.09,0.1211,2/15/2021,9/21/2025
400229,200120,1,21375.07,0.1136,,9/26/2024
400166,201526,3,29609.93,0.0489,8/17/2022,10/28/2026
400311,200871,1,53911.37,0.0539,9/21/2021,7/13/2025
400316,200462,1,31471.08,0.1104,7/13/2021,3/13/2024
400073,201395,1,5297.92,0.1311,4/9/2022,8/1/2023
400325,200397,1,24534.48,0.1021,8/29/2026,
400310,201460,1,71795.09,0.1106,9/21/2021,1/17/2026
400110,200777,1,68552.73,0.1141,1/8/2021,4/14/2025
400213,200598,3,46033.42,0.0555,8/4/2021,6/20/2024
400210,200536,3,15545.33,0.0897,1/2/2021,7/24/2023
400271,200362,1,21884.17,0.0921,2/8/2023,9/24/2026
400283,200160,1,49796.21,0.0653,6/12/2021,8/7/2023
400169,200338,2,83104.84,0.1367,6/3/2021,3/31/2026
400197,201478,1,92371.27,0.0527,2/8/2021,4/15/2022
400172,200221,1,69014.96,0.1232,8/13/2021,12/2/2022
400315,201462,1,76957.94,0.0431,1/27/2021,4/17/2022
400319,201109,1,43211.52,0.0863,4/17/2022,11/17/2025
400030,201597,3,20518.94,0.117,11/14/2022,1/18/2027
400211,201264,1,91955.58,0.0869,7/13/2021,4/27/2026
400215,200475,1,58687.93,0.1413,7/11/2022,5/10/2024
400063,200269,2,27495.55,0.14,7/18/2021,4/23/2026
400105,201562,1,81783.1,0.048,8/15/2022,
400088,200502,1,44398.15,0.078,8/26/2021,8/2/2026
400225,200537,1,84322.28,0.1428,3/8/2022,12/21/2024
400136,200042,1,74135.38,0.1104,1/5/2023,12/6/2027
400042,200107,1,42758.63,0.1214,3/18/2022,10/13/2025
400297,200915,1,17852.81,0.1182,5/19/2022,11/26/2026
400243,200311,1,95007.79,0.0494,11/15/2022,8/11/2024
400055,200017,1,28925.48,0.0957,5/4/2022,4/17/2026
400294,200441,1,47505.71,0.0547,3/12/2022,12/4/2025
400167,200441,1,49147.72,0.0551,2/27/2023,12/31/2026
400152,200139,3,63720.18,0.0837,3/16/2021,2/2/2024
400161,201162,1,54508.9,0.137,2/1/2022,2/1/2024
400239,200178,3,37183.71,0.1208,2/10/2022,10/4/2026
400045,200874,1,73387.28,0.0608,12/22/2021,9/2/2026
400305,201222,2,11486.53,0.0898,1/25/2021,4/7/2023
400274,201131,1,52436.38,0.1256,1/23/2023,5/27/2025
400023,200186,1,60253.22,0.0689,5/12/2022,4/4/2027
400080,201058,1,41196.54,0.1429,3/18/2026,5/30/2024
400206,201304,2,95252.56,0.0516,7/19/2021,6/1/2026
400176,201303,1,33175.84,0.0971,12/4/2021,3/24/2025
400135,201405,1,97867.65,0.0388,10/23/2022,3/22/2025
400185,200007,1,76160.97,0.1143,9/6/2022,8/20/2024
400269,200515,1,83925.89,0.0534,1/27/2022,1/7/2025
400214,201288,1,34281.29,0.099,10/30/2021,9/3/2023
400084,201500,1,34450.44,0.0928,3/23/2021,3/20/2026
400249,201264,1,70023.33,0.1388,8/25/2021,8/16/2024
400284,200186,1,77030.49,0.0918,12/16/2021,7/9/2024
400066,201386,1,73638.7,0.0964,12/6/2022,5/28/2026
400113,200304,1,99488.79,0.1418,4/5/2021,5/5/2024
400018,201072,1,35503.34,0.0355,12/4/2022,1/18/2027
400184,200172,1,98129.49,0.0759,11/7/2021,6/22/2026
400259,200179,1,95795.36,0.1271,4/10/2022,8/18/2025
400132,200558,1,16185.43,0.133,4/6/2022,5/7/2026
400193,201320,1,78813.97,0.0647,2/2/2023,4/26/2025
400068,201590,1,73391.3,0.0894,11/18/2021,6/3/2025
400242,200812,1,42825.5,0.0985,5/1/2021,1/19/2024
400223,200103,1,77709.06,0.0593,11/17/2021,1/27/2026
400205,200542,1,71988.1,0.1013,11/4/2022,11/28/2024
400002,201563,1,22288.38,0.0969,5/19/2021,5/7/2024
400245,201588,1,41816.69,0.0962,3/8/2023,4/4/2024
400260,201122,3,71503.39,0.0344,2/5/2021,8/4/2025
400155,200078,2,27406.57,0.0415,7/24/2022,
400218,200520,1,92330,0.0324,5/23/2022,4/12/2026
400257,200844,1,9326.3,0.1361,3/19/2022,1/22/2027
400093,200873,2,68021.7,0.0645,10/19/2022,8/19/2026
400097,200715,1,61648.82,0.1036,1/1/2021,2/14/2024
400253,201058,2,42585.56,0.0935,1/5/2022,8/11/2025
400011,200467,1,51864.56,0.0402,8/19/2021,1/9/2024
400327,201389,1,80777.24,0.1165,4/18/2021,5/7/2025
400092,201438,1,49120.46,0.043,2/16/2021,11/18/2023
400098,200673,1,56226.29,0.1231,4/5/2021,1/14/2026
400231,200146,2,20910.17,0.1064,7/6/2021,8/23/2025
400171,201508,2,64868.95,0.0636,9/10/2021,11/29/2022
400178,200941,1,6326.34,0.0846,2/15/2023,9/2/2025
400031,200328,1,9103.78,0.0303,2/18/2023,5/7/2026
400077,201558,1,96528.66,0.0554,10/31/2021,1/20/2023
400046,200106,1,28448.65,0.0301,1/24/2023,8/22/2025
400165,201475,2,99467.25,0.1438,7/27/2022,9/27/2025
400219,200056,1,28744.19,0.0917,6/16/2022,6/11/2026
400022,201428,1,56615.03,0.1308,4/25/2022,11/26/2026
400221,200533,1,13646.58,0.13,8/12/2021,11/9/2025
400170,200603,3,52709.05,0.1062,3/7/2023,6/24/2027
400168,200047,1,80385.21,0.0313,10/11/2022,5/23/2024
400235,201405,1,4459.35,0.1336,11/12/2021,7/18/2024
400248,200593,1,21707.86,0.1191,7/16/2022,11/6/2026
400275,200161,2,98089.6,0.0583,12/18/2021,9/1/2026
400082,201086,1,69342.99,0.0397,11/19/2022,10/4/2025
400204,200370,1,93088.44,0.0549,11/30/2022,9/6/2027
400241,201620,2,67258.53,0.0768,9/23/2021,10/2/2025
400038,201514,1,1374.12,0.0505,4/22/2022,4/19/2024
400021,201011,1,10151.83,0.035,10/9/2022,7/2/2025
400147,200075,1,28474.62,0.0728,5/2/2021,12/22/2022
400144,200711,1,27771.85,0.1006,1/18/2022,12/16/2026
400047,200935,2,84300.98,0.1213,8/2/2022,5/22/2026
400190,201502,1,53870.68,0.087,1/31/2022,9/8/2023
400240,200916,3,28287.79,0.0527,6/5/2021,9/6/2023
400162,201541,2,23512.27,0.15,11/12/2022,11/11/2026
400228,200682,3,54691.61,0.0866,11/7/2021,3/14/2026
400037,200498,1,84938.36,0.1452,,3/6/2025
400086,201641,1,83105.71,0.0627,12/2/2022,11/8/2027
400258,200278,1,34916.57,0.0796,10/17/2022,11/17/2023
400008,200379,1,47534.75,0.1395,5/20/2021,9/10/2025
400288,201275,2,34024.66,0.0476,7/30/2022,3/23/2025
400056,200691,1,65871.54,0.1185,5/22/2021,1/22/2023
400212,200447,1,89845.11,0.1394,1/31/2022,2/12/2024
